818476875869802000, u'Mikl\xf3s Jord\xe1n',8.36293E+17, u'@ALALibrary @mauraweb Yes  a way to foster more equality  but rarely used  unfortunately.',0,0
790742022890016000, u'J.P.',8.3959E+17," u""@ALALibrary Happy Women's Day  ALA!! \U0001f642""",0,0
743834218950692000, u'ClaudiaBellony',8.39442E+17, u'@ALALibrary @CharlesCoLib this sounds like a great opportunity!!',0,0
716573805318172000, u'William Schnabel',8.36653E+17, u'@EugenePublicLib Summer of Love 50th anniversary 1967-2017\nhttps://t.co/vfbSJNpup7\nhttps://t.co/86PUKVmrmd https://t.co/6OaCh6PVcZ',0,0
3876566653, u'Jasmin Taylor',8.36113E+17," u""@dnlibraries @GreggHurwitz Really enjoyed reading 'Orphan X'  looking forward to 'Nowhere Man'""",0,0
3209832404, u'Sue Madd.onovan',8.36589E+17, u'@UVaLibrary taking c',0,0
3209832404, u'Sue Madd.onovan',8.36589E+17, u'@UVaLibrary taking covers off books  stacking them  making tables out of them  carving them into shapes or letters... those are 4 of mine!',0,0
2660572027, u'Seychelles_Green',8.36306E+17, u'@UVaLibrary @scholarslab @Literature_Geek Great news!! Indiana will miss you lots!',0,0
2532698263, u'MelissaAtWork',8.37332E+17, u'@UVaLibrary @UVA Our IT found a work-around. Not sure what changed but glad I can get to your Salem collection to connect with our display.',0,0
2332944960, u'TXGovTweets',8.37391E+17, u'@TSLAC Congratulations on writing a great TX Gov Tweet! https://t.co/XDAZ1wh4R4 (Ranked 17th for Mar 1.)',0,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
1511254098, u'Henry Madden Library',8.3739E+17, u'20th Annual Outstanding #Faculty #Publications reception &amp; exhibit 5p Mar 3 in @Fresno_State @MaddenLibrary 2nd flo\u2026 https://t.co/bIbsS9D95R',0,0
1511254098, u'Henry Madden Library',8.39558E+17, u'The @Fresno_State @MaddenLibrary @ArneNixonCenter hosts award-winning author #GuadalupeGarc\xedaMcCall Mar 13 5-6:30p\u2026 https://t.co/PcoF4da8HT',0,0
1511254098, u'Henry Madden Library',8.39991E+17, u'The @Fresno_State @MaddenLibrary hosts 9066 @Wikipedia #Editathon Mar 14 3-5p. Free public event.\u2026 https://t.co/VE0fPuLzhs',0,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
459315164, u'Hamilton PL',8.36233E+17, u'TONIGHT at 6:30pm #PowerUpMondays shows you how to use the Library to build your business. 4th Floor-Central\u2026 https://t.co/yl6I1hmIAh',0,0
459315164, u'Hamilton PL',8.36252E+17, u'Place your hold NOW on Oscar Best Picture winner La La Land--er  no  make that Moonlight https://t.co/MGkT7vXt7T https://t.co/fnUYkC0U8N',0,0
459315164, u'Hamilton PL',8.36313E+17, u'Take a dive into the world of virtual reality with our new VR goggles! Try them today at the Central Makerspace  av\u2026 https://t.co/1PnZJEpiWF',0,0
459315164, u'Hamilton PL',8.36345E+17, u'The movies of BIll Paxton (1955-2017) https://t.co/QhZg6n55Z9 https://t.co/bTzhsOFaHJ',0,0
459315164, u'Hamilton PL',8.36581E+17, u'Joyce Nelson reads from #BeyondBanksters: Resisting the New Feudalism https://t.co/dbo4TrvUOL Truly chilling. Wed M\u2026 https://t.co/aheJnPYz4g',0,0
459315164, u'Hamilton PL',8.36626E+17," u""This metaphor for modern life was created with an iPad  a free app &amp; Central Library's #MakerSpace #greenscreen.\u2026 https://t.co/DHINL7eeBM""",0,0
459315164, u'Hamilton PL',8.36675E+17, u'#OscarNominated #Arrival is just one of many fine films directed by #DenisVilleneuve. https://t.co/zKH1vY7Qk8',0,0
459315164, u'Hamilton PL',8.37302E+17, u'Gribble your gander. Glibble your goose. Happy Birthday  Dr Seuss! https://t.co/qHSQ5Ttx6H https://t.co/r1Dpb4SWvb',0,0
459315164, u'Hamilton PL',8.37328E+17, u'You can listen to #Seuss on your phone!\nhttps://t.co/bKLKT8S0Il (1/4) https://t.co/2AHFF4qhgG',0,0
459315164, u'Hamilton PL',8.37332E+17, u'You can watch #Seuss in your home! https://t.co/OytEvAyX3I (2/4) https://t.co/MAGPDxC0BA',0,0
459315164, u'Hamilton PL',8.37336E+17, u'Borrow a #Seuss kit if you dare  https://t.co/5RMHkbP9gS (3/4) https://t.co/z60cYB6p05',0,0
459315164, u'Hamilton PL',8.37339E+17, u'You can read #Seuss anywhere!\nhttps://t.co/P4e0Y7BBnZ Happy birthday  Dr. #Seuss! (4/4) https://t.co/cM4UZbUzyG',0,0
459315164, u'Hamilton PL',8.37378E+17, u'Place your hold on #OscarNominated Hell or High Water https://t.co/trjluwML6E Or come see it at 6pm today  Central\u2026 https://t.co/EifrjbaglK',0,0
459315164, u'Hamilton PL',8.37419E+17," u'Hamiltonian ""Wilhelmina"" was instrumental in funding and promoting @TheAGH in the 1950s. More great photos at\u2026 https://t.co/z2GxS59E6R'",0,0
459315164, u'Hamilton PL',8.37687E+17, u'Kerry from Lyer Lyer Soapcraft shows you how to make artisan soap. Mar 4  10am  Central Library. No pants on fire h\u2026 https://t.co/oCTZbrJpNd',0,0
459315164, u'Hamilton PL',8.37706E+17, u'#FreegalFriday 150 #CanadianSongs We Like: Don Ross  The Thing That Came From Somewhere https://t.co/ESoYN1cwfj https://t.co/XRLR1WrUsZ',0,0
459315164, u'Hamilton PL',8.3771E+17, u'Tinkers  gamers  makers  cosplayers! Learn about 3D printing this Saturday @ Central  then book one of our printers! https://t.co/AcVsSatX2u',0,0
459315164, u'Hamilton PL',8.3778E+17, u'Freegal Music offers unlimited streaming + 5 free music downloads/week (videos count for 2 downloads)\u2026 https://t.co/uHvgzoCLx2',0,0
459315164, u'Hamilton PL',8.3948E+17," u""Today is International Women's Day! Check out HPL's #IWD2017 booklist to celebrate &amp; learn: https://t.co/8ZDQPk4ks9\u2026 https://t.co/diLwMXrbOO""",0,0
459315164, u'Hamilton PL',8.39501E+17," u""A snap from the '95 #hamont Women's Day March! Find the history of the local movement in the #hplarchives\u2026 https://t.co/6TdB7FFV6s""",0,0
459315164, u'Hamilton PL',8.39526E+17," u""Join us for Safety at Home  - A Falls Prevention Presentation by St.Joseph's Home Care Fri Mar 10  10am Central\u2026 https://t.co/BMdqdjVp3m""",0,0
459315164, u'Hamilton PL',8.39536E+17, u'Alert - Binbrook and Valley Park Branches are closed due to a power outage. Check Alerts on https://t.co/BwU46DpMnr for updates.',0,0
459315164, u'Hamilton PL',8.39545E+17, u'HPL needs a reporter for Monster Jam  Apr 22 at FirstOntario Centre. Contest starts Mar 13. Ages 7-12:\u2026 https://t.co/v2baUNLP5r',0,0
459315164, u'Hamilton PL',8.39567E+17, u'@JoeyColeman Have it soon you will. https://t.co/CgwTwSgLEI #RogueOne',0,0
459315164, u'Hamilton PL',8.39569E+17, u'Update: Ancaster Branch now closed  along with Binbrook &amp; Valley Park Branches due to power outage. See Alerts at https://t.co/BwU46DpMnr.',0,0
459315164, u'Hamilton PL',8.39582E+17," u""March Break is coming! HPL's got a lot of great activities planned at a branch near you. https://t.co/7iYtkCpFmR https://t.co/QW66cRnZOs""",0,0
459315164, u'Hamilton PL',8.39588E+17," u'Congratulations to HPL\'s own Brent van Staalduinen  winner of The Writer Magazine\'s ""Our Darkest Hours"" contest\u2026 https://t.co/DKb46CXZoe'",0,0
459315164, u'Hamilton PL',8.39842E+17, u'Nora-Frances Henderson  reporter  politician  public servant &amp; Hamiltonian. Discover other interesting folks at\u2026 https://t.co/VRjoAl3TlR',0,0
459315164, u'Hamilton PL',8.39858E+17, u'Canadian Country Music Awards coming to Hamilton September 2018!Visit https://t.co/vjHXXu2Hqq to download your favourite country tunes.',0,0
459315164, u'Hamilton PL',8.39886E+17," u""#TBT films: George Orwell's 1984. \u201cWar is peace. Freedom is slavery.  Ignorance is strength.\u201d\u2026 https://t.co/QwoCpGPHDf""",0,0
459315164, u'Hamilton PL',8.39904E+17," u""Tomorrow's Free Friday Lunch Concert at Central features Derek Elliott on guitar! Please join us a Central at 12pm.\u2026 https://t.co/T73XVM1hmb""",0,0
452803785, u'Jill',8.37557E+17, u'@dnlibraries I \u2764\ufe0f you for your books  but most of all I \u2764you for your brilliant magazine collection. \U0001f618 https://t.co/mQmLaTE3Q1',0,0
366650597, u'Donna Roberts',8.37747E+17, u'@OkStateLibrary Any interest in carrying American made totes that promotes environmental awareness in a concrete sh\u2026 https://t.co/dMC7g4EBaw',0,0
346611662, u'Alexandra Allred',8.37783E+17," u""@yalelibrary ALTERNATIVE FARM one pig cries  'make the farm great again!' and the sheep say bah: https://t.co/v6M4Ar3UOJ  #Resist""",0,0
312023515, u'Jason W. Dean',8.37316E+17, u'@UVaLibrary @AmAntiquarian Mather would be pleased by the long s!',0,0
284077321, u'TASL',8.37385E+17," u""@ALALibrary's Sara Jaffarian Award recognizes K-8 school libraries w/ outstanding humanities programming.Apply now! https://t.co/ytXhMbxo25.""",0,0
230051329, u'Barbara McGregor PhD',8.3958E+17, u'@TSLAC We stand on their shoulders today!',0,0
203710543, u'Brent vanStaalduinen',8.3981E+17, u'@HamiltonLibrary Cheers  gang!',0,0
